,noise_rate,mitigated_avg,mitigated_std,unmitigated_avg,unmitigated_std
0,0.0001,0.9999399378352251,5.110573408906305e-09,0.99965,4.999999999999449e-05
1,0.0012000000000000001,0.9983596606677376,0.0002232348815422447,0.99534,5.999999999994898e-05
2,0.0023,0.9970087178079672,0.00038962286600602303,0.99051,0.00046999999999997044
3,0.0034,0.9955530696460768,4.9593646532730684e-05,0.98612,2.0000000000020002e-05
4,0.0045000000000000005,0.9940606184101954,0.00023067266050230684,0.98185,0.0006699999999999484
5,0.005600000000000001,0.9920351671145196,0.0005209798962750867,0.97757,0.0008100000000000329
6,0.0067,0.9906186706563413,0.00037434893384097334,0.97297,0.00034999999999996145
7,0.0078000000000000005,0.9889039680027567,1.8070732312192028e-06,0.96949,0.0006299999999999639
8,0.0089,0.9873072301972977,0.00013252123274809513,0.96485,0.0006700000000000039
9,0.01,0.9855008977932951,6.508233216989678e-05,0.9604600000000001,0.00015999999999999348
